[0.000000] (-) TimerEvent: {}
[0.001707] (-) JobUnselected: {'identifier': 'arduino'}
[0.001943] (-) JobUnselected: {'identifier': 'cg_msgs'}
[0.002061] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.002141] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.002255] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.002384] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002469] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002634] (-) JobUnselected: {'identifier': 'grid_map_cmake_helpers'}
[0.002772] (-) JobUnselected: {'identifier': 'grid_map_core'}
[0.003808] (-) JobUnselected: {'identifier': 'grid_map_costmap_2d'}
[0.004347] (-) JobUnselected: {'identifier': 'grid_map_cv'}
[0.004537] (-) JobUnselected: {'identifier': 'grid_map_demos'}
[0.004647] (-) JobUnselected: {'identifier': 'grid_map_filters'}
[0.004794] (-) JobUnselected: {'identifier': 'grid_map_loader'}
[0.004885] (-) JobUnselected: {'identifier': 'grid_map_msgs'}
[0.004995] (-) JobUnselected: {'identifier': 'grid_map_octomap'}
[0.005155] (-) JobUnselected: {'identifier': 'grid_map_pcl'}
[0.005291] (-) JobUnselected: {'identifier': 'grid_map_ros'}
[0.005902] (-) JobUnselected: {'identifier': 'grid_map_rviz_plugin'}
[0.006292] (-) JobUnselected: {'identifier': 'grid_map_sdf'}
[0.006388] (-) JobUnselected: {'identifier': 'grid_map_visualization'}
[0.006529] (-) JobUnselected: {'identifier': 'imu'}
[0.006674] (-) JobUnselected: {'identifier': 'kindr'}
[0.006786] (-) JobUnselected: {'identifier': 'kindr_msgs'}
[0.006943] (-) JobUnselected: {'identifier': 'kindr_ros'}
[0.007637] (-) JobUnselected: {'identifier': 'localization'}
[0.007814] (-) JobUnselected: {'identifier': 'lx_msgs'}
[0.008032] (-) JobUnselected: {'identifier': 'mapping'}
[0.008195] (-) JobUnselected: {'identifier': 'motion_control'}
[0.008343] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.008512] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.008617] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.008825] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.008991] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.009128] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.009298] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.009450] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.009603] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.009717] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.009892] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.009992] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.010070] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.010143] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.010214] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.010285] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.010457] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.010548] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.010634] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.010724] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.010806] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.010883] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
